mil,task,cls_id,cls_name,metric,none_tcga,none_cptac,mac_cptac,delta_n,rpd,prev_tcga,prev_cptac,delta_p,d_c,b_tilde,tcga_tubule,cptac_tubule,tcga_nuclear,cptac_nuclear,tcga_mitotic,cptac_mitotic,tcga_necrosis,cptac_necrosis,tcga_li,cptac_li,tcga_pmn,cptac_pmn
transmil,pr,0,neg,pr_auc,0.969,0.741,0.705,-0.036,0.2353,0.3784,0.455,0.0767,0.112338,1.08,2.72,2.68,2.5,2.1,0.36,0.44,0.72,0.44,0.66,0.84,0.78,0.56
transmil,pr,1,pos,pr_auc,0.985,0.805,0.757,-0.048,0.1827,0.6216,0.545,-0.0767,0.117604,1.5584,2.34,2.42,1.9,1.72,0.08,0.16,0.12,0.22,0.64,0.84,0.32,0.38
clam_mil_mb,pam50,0,Basal,f1,0.852,0.693,0.682,-0.011,0.1866,0.1704,0.3023,0.1319,0.139004,-0.1248,2.72,2.76,2.88,2.14,0.58,0.48,0.56,0.46,0.54,0.98,0.78,0.6
clam_mil_mb,pam50,1,Her2,f1,0.598,0.0,0.0,0.0,1.0,0.0762,0.1008,0.0245,0.197474,-0.904,2.82,2.76,2.78,1.96,0.38,0.6,0.48,0.48,0.96,0.76,0.72,0.52
clam_mil_mb,pam50,2,LumA,f1,0.865,0.732,0.74,0.008,0.1538,0.5247,0.4496,-0.0751,0.122516,0.5744,1.64,2.14,1.52,1.42,0.12,0.02,0.0,0.36,0.56,0.5,0.12,0.06
clam_mil_mb,pam50,3,LumB,f1,0.629,0.2,0.386,0.186,0.682,0.1794,0.1137,-0.0657,0.149136,0.6928,2.2,2.38,2.26,1.76,0.28,0.26,0.1,0.12,0.8,0.88,0.22,0.32
clam_mil_mb,pam50,4,Normal,f1,0.179,0.0,0.103,0.103,1.0,0.0493,0.0336,-0.0157,0.147244,-1.232,1.36,2.62,1.34,1.96,0.0,0.28,0.0,0.26,0.8,0.8,0.04,0.32
dsmil,pam50,0,Basal,f1,0.824,0.633,0.694,0.061,0.2318,0.2143,0.3023,0.088,0.139004,-0.1248,2.72,2.76,2.88,2.14,0.58,0.48,0.56,0.46,0.54,0.98,0.78,0.6
dsmil,pam50,1,Her2,f1,0.538,0.0,0.0,0.0,1.0,0.0893,0.1008,0.0115,0.197474,-0.904,2.82,2.76,2.78,1.96,0.38,0.6,0.48,0.48,0.96,0.76,0.72,0.52
dsmil,pam50,2,LumA,f1,0.862,0.745,0.732,-0.013,0.1357,0.4911,0.4496,-0.0415,0.122516,0.5744,1.64,2.14,1.52,1.42,0.12,0.02,0.0,0.36,0.56,0.5,0.12,0.06
dsmil,pam50,3,LumB,f1,0.607,0.242,0.246,0.004,0.6013,0.1786,0.1137,-0.0649,0.149136,0.6928,2.2,2.38,2.26,1.76,0.28,0.26,0.1,0.12,0.8,0.88,0.22,0.32
dsmil,pam50,4,Normal,f1,0.353,0.062,0.16,0.098,0.8244,0.0268,0.0336,0.0068,0.147244,-1.232,1.36,2.62,1.34,1.96,0.0,0.28,0.0,0.26,0.8,0.8,0.04,0.32
transmil,pam50,0,Basal,f1,0.969,0.739,0.735,-0.004,0.2374,0.1881,0.3023,0.1143,0.139004,-0.1248,2.72,2.76,2.88,2.14,0.58,0.48,0.56,0.46,0.54,0.98,0.78,0.6
transmil,pam50,1,Her2,f1,0.912,0.0,0.0,0.0,1.0,0.0917,0.1008,0.009,0.197474,-0.904,2.82,2.76,2.78,1.96,0.38,0.6,0.48,0.48,0.96,0.76,0.72,0.52
transmil,pam50,2,LumA,f1,0.966,0.765,0.71,-0.055,0.2081,0.5413,0.4496,-0.0917,0.122516,0.5744,1.64,2.14,1.52,1.42,0.12,0.02,0.0,0.36,0.56,0.5,0.12,0.06
transmil,pam50,3,LumB,f1,0.902,0.317,0.329,0.012,0.6486,0.156,0.1137,-0.0423,0.149136,0.6928,2.2,2.38,2.26,1.76,0.28,0.26,0.1,0.12,0.8,0.88,0.22,0.32
transmil,pam50,4,Normal,f1,0.915,0.098,0.08,-0.018,0.8929,0.0229,0.0336,0.0107,0.147244,-1.232,1.36,2.62,1.34,1.96,0.0,0.28,0.0,0.26,0.8,0.8,0.04,0.32
